"match(REQ1,RES1)","match(REQ2,RES1)","match(REQ3,RES1)","request_sent(N1,REQ1)","request_sent(N1,REQ2)","request_sent(N1,REQ3)","request_sent(N2,REQ1)","request_sent(N2,REQ2)","request_sent(N2,REQ3)","response_sent(N1,RES1)","response_sent(N2,RES1)","response_received(N1,RES1)","response_received(N2,RES1)","db_request_sent(D1,REQ1)","db_request_sent(D1,REQ2)","db_request_sent(D1,REQ3)","db_response_sent(D1,RES1)","t(D1,N1)","t(D1,N2)"
0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1
0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1
1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1
0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1
1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1
1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1
0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0
0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0
0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0
0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0
1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0
0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1
1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1
0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0
1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0
1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1
1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0
1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1
1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0
0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0
1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0
0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0
1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1
0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0
0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1
0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1
0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0
1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1
1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1
0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1
0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0
0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1
1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1
1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1
0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0
1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0
1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0
0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0
0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0
0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0
1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0
0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0
1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1
1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0
0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0
0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1
1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0
0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0
1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0
1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0
1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0
0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0
