"table(N1,K1,V1)","table(N1,K1,V2)","table(N1,K1,V3)","table(N1,K2,V1)","table(N1,K2,V2)","table(N1,K2,V3)","table(N1,K3,V1)","table(N1,K3,V2)","table(N1,K3,V3)","owner(N1,K1)","owner(N1,K2)","owner(N1,K3)","transfer_msg(N1,K1,V1)","transfer_msg(N1,K1,V2)","transfer_msg(N1,K1,V3)","transfer_msg(N1,K2,V1)","transfer_msg(N1,K2,V2)","transfer_msg(N1,K2,V3)","transfer_msg(N1,K3,V1)","transfer_msg(N1,K3,V2)","transfer_msg(N1,K3,V3)"
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
