"member(N1,Q1)","member(N2,Q1)",voted(N1),voted(N2),"vote(N1,V1)","vote(N1,V2)","vote(N2,V1)","vote(N2,V2)",decided(V1),decided(V2)
0,1,1,0,1,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0
1,1,1,0,0,1,0,0,0,0
1,1,0,1,0,0,0,1,0,0
0,1,1,1,0,1,0,1,0,0
0,1,0,1,0,0,1,0,1,0
1,0,1,1,0,1,1,0,0,0
1,0,1,1,1,0,0,1,0,0
1,1,1,1,1,0,0,1,0,0
1,1,1,1,0,1,0,1,0,0
1,0,1,1,0,1,0,1,0,1
1,0,1,0,0,1,0,0,0,1
0,1,1,1,1,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0
1,0,1,0,1,0,0,0,0,0
1,1,1,1,0,1,1,0,0,0
1,1,0,1,0,0,1,0,0,0
0,1,1,1,1,0,1,0,0,0
0,1,0,1,0,0,1,0,0,0
0,1,1,1,0,1,1,0,1,0
1,1,1,1,1,0,1,0,1,0
0,1,0,1,0,0,0,1,0,1
0,1,1,0,0,1,0,0,0,0
1,0,1,1,0,1,0,1,0,0
1,0,1,0,0,1,0,0,0,0
1,0,1,1,1,0,1,0,1,0
0,1,1,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,0
0,1,1,1,1,0,1,0,1,0
0,1,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0
0,1,1,1,0,1,1,0,0,0
0,1,1,1,0,1,0,1,0,1
0,1,0,1,0,0,0,1,0,0
1,1,1,1,0,1,0,1,0,1
1,0,1,1,0,1,1,0,0,1
1,1,1,1,1,0,1,0,0,0
1,0,1,0,1,0,0,0,1,0
1,0,1,1,1,0,1,0,0,0
